head_k,query_id,query_text,tau_method,head_mean,tail_mean,tail_std,tail_to_head_ratio,tail_cv,tail_decay_rate,n_tail_items,total_items
10,25,authentication brute force due to missing rate limiting,Cosine (τ=1.0),0.838985,0.831608,0.001421,0.991207,0.001709,0.000271,15,25
10,25,authentication brute force due to missing rate limiting,hybrid (τ=0.72),0.850474,0.838990,0.001797,0.986497,0.002142,0.000420,15,25
10,25,authentication brute force due to missing rate limiting,taumode (τ=0.42),0.906654,0.899606,0.001523,0.992227,0.001693,0.000329,15,25
10,26,authentication bypass via JWT token manipulation,Cosine (τ=1.0),0.816256,0.807979,0.001735,0.989860,0.002147,0.000339,15,25
10,26,authentication bypass via JWT token manipulation,hybrid (τ=0.72),0.842551,0.832013,0.002391,0.987493,0.002874,0.000475,15,25
10,26,authentication bypass via JWT token manipulation,taumode (τ=0.42),0.902628,0.895867,0.001561,0.992509,0.001743,0.000354,15,25
10,27,use-after-free vulnerability in browser rendering engine,Cosine (τ=1.0),0.856401,0.848528,0.001484,0.990807,0.001748,0.000290,15,25
10,27,use-after-free vulnerability in browser rendering engine,hybrid (τ=0.72),0.896597,0.890739,0.001164,0.993466,0.001306,0.000225,15,25
10,27,use-after-free vulnerability in browser rendering engine,taumode (τ=0.42),0.939665,0.936223,0.000678,0.996338,0.000724,0.000130,15,25
10,28,hardcoded credentials in firmware update mechanism,Cosine (τ=1.0),0.835910,0.827402,0.001902,0.989822,0.002299,0.000452,15,25
10,28,hardcoded credentials in firmware update mechanism,hybrid (τ=0.72),0.881788,0.875520,0.001463,0.992892,0.001671,0.000325,15,25
10,28,hardcoded credentials in firmware update mechanism,taumode (τ=0.42),0.930942,0.927252,0.000897,0.996036,0.000968,0.000198,15,25
10,29,authorization bypass in GraphQL mutation resolver,Cosine (τ=1.0),0.820565,0.810604,0.002384,0.987861,0.002941,0.000500,15,25
10,29,authorization bypass in GraphQL mutation resolver,hybrid (τ=0.72),0.870704,0.863532,0.001703,0.991763,0.001972,0.000367,15,25
10,29,authorization bypass in GraphQL mutation resolver,taumode (τ=0.42),0.924424,0.920244,0.000969,0.995479,0.001053,0.000219,15,25
10,30,XML external entity XXE injection in SOAP parser,Cosine (τ=1.0),0.808632,0.801455,0.002173,0.991125,0.002711,0.000434,15,25
10,30,XML external entity XXE injection in SOAP parser,hybrid (τ=0.72),0.843544,0.834791,0.001877,0.989624,0.002248,0.000468,15,25
10,30,XML external entity XXE injection in SOAP parser,taumode (τ=0.42),0.903323,0.897461,0.000907,0.993510,0.001011,0.000210,15,25
10,31,improper access control in REST API DELETE method,Cosine (τ=1.0),0.870285,0.862332,0.001738,0.990862,0.002015,0.000346,15,25
10,31,improper access control in REST API DELETE method,hybrid (τ=0.72),0.884993,0.873043,0.001795,0.986497,0.002056,0.000386,15,25
10,31,improper access control in REST API DELETE method,taumode (τ=0.42),0.927130,0.919759,0.002001,0.992049,0.002176,0.000389,15,25
